Bag;DayPostInnoculum;Methylophaga;Glaciecola;Marinobacter;Alteromonas;Pseudoalteromonas;Methylophaga (> 20 um);Alteromonas (> 20 um);Pseudoalteromonas (> 20 um);Photobacterium (> 20 um);Roseobacter (> 20 um);Halomonas (> 20 um);Vibrio (> 20 um)
4;5;0.00000;0.00000;0.00422;0.00325;0.01163;0.00000;0.00000;0.05607;0.00000;0.00000;0.00000;0
4;6;0.00000;0.00128;0.00363;0.00363;0.03714;0.00000;0.00000;0.08214;0.00000;0.00000;0.00000;0
4;7;0.00000;0.00000;0.00326;0.00860;0.03481;0.00000;0.00000;0.06414;0.00162;0.00000;0.00000;0
4;8;0.00000;0.00161;0.00171;0.00443;0.00928;0.00000;0.00404;0.04166;0.00000;0.00000;0.00000;0
4;9;0.00051;0.00283;0.00813;0.02838;0.00690;0.00000;0.00572;0.04265;0.00000;0.00000;0.00000;0
4;10;0.00000;0.00839;0.00000;0.00137;0.00328;0.00000;0.00462;0.02964;0.00000;0.00000;0.00000;0
4;11;0.00000;0.00482;0.00000;0.00114;0.00135;0.00000;0.01250;0.02822;0.00000;0.00000;0.00000;0
4;12;0.00000;0.00582;0.00050;0.00000;0.00113;0.00787;0.00000;0.02500;0.00000;0.00000;0.00000;0.02008427
4;13;0.00052;0.00052;0.00096;0.00235;0.00074;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.016378162
4;14;0.00000;0.00367;0.00058;0.00237;0.00137;0.00822;0.00000;0.00650;0.00000;0.00000;0.00000;0.015906681
4;15;0.00084;0.00255;0.00040;0.01216;0.00285;0.00619;0.00000;0.01131;0.00000;0.00000;0.00000;0.011715594
4;16;0.00065;0.00088;0.00000;0.00546;0.00074;0.01462;0.00000;0.00550;0.00000;0.00000;0.00000;0.006247657
4;17;0.00081;0.00435;0.00000;0.00575;0.00000;0.02162;0.00000;0.00000;0.00000;0.00000;0.00000;0
4;18;0.00237;0.00069;0.00034;0.00271;0.00116;0.01134;0.00000;0.00000;0.00000;0.00000;0.00000;0
4;19;0.00105;0.00233;0.00000;0.00143;0.00052;0.02046;0.00389;0.00000;0.00000;0.00000;0.00000;0
4;20;0.00109;0.00000;0.00000;0.00175;0.00000;0.03412;0.00000;0.00000;0.00000;0.00000;0.00000;0
