Bag;DayPostInnoculum;NeukHighSSC (cells/mL);NeuksLowSSC (cells/mL);Peuks (cells/mL);Syn (cells/mL);Het. Bacteria (cells/mL);EhV;MPV;MOI;Ciliates (cells/mL);Thraustochytrids ddPCR;% infected Ehux;Nitrate (umolN/L);Chlorophyll (ug/L);DMS (pmol/mL);DMS std;DMSPd;DMSPt;DMSPt std;DMSPp;DMSPd std;PON (nmol/mL);
3;5;146;9846;109215;4685;;40;;0;;;;4.297;6.82;6.04;0.01;9.17;164;0.39;154.83;0.39;3.92;
3;6;1508;10685;89300;4989;1573610;9;1525605;962;39.75;;;3.343;7.74;12.16;0.13;12.38;196.85;3.29;184.47;3.29;4.48;
3;6.5;578;11363;85172;5413;1062594;;1380965;1614;;;;;;;;;;;;;;
3;7;359;13145;75877;3090;1094805;;1833920;3336;68.9;;;2.509;9.19;15.48;0.44;24.16;242.3;3.4;218.14;3.4;5.49;
3;7.5;598;6310;66791;17294;1550744;;2660335;2333;;;;;;;;;;;;;;
3;8;608;9511;80448;4107;2294158;;4076234;3248;97.48;3106.67;;1.526;9.86;27.11;0.48;63.91;318.84;7.43;254.92;7.43;5.02;
3;8.5;920;8401;65332;5797;1809132;;2274430;1290;;;;;;;;;;;;;;
3;9;1613;11534;55052;3637;3511205;;4721994;1248;121.52;;;0.182;11.58;27.41;0.23;20.32;462.94;10.19;442.62;10.19;6.43;
3;9.5;2176;13132;64229;6574;;;;0;;;;;;;;;;;;;;
3;10;7982;19265;68796;7265;3794786;24;6189688;517;56.23;;;0.046;10.6;37.81;0.31;16.7;457.77;18.09;441.07;18.09;6.96;
3;10.5;7391;10550;58568;11880;7201241;;11945368;1611;;;;;;;;;;;;;;
3;11;11663;9348;57591;9233;6527851;65;12910639;1123;39.26;;2.17;0.067;6.53;54.24;1.13;;285.16;2.34;285.16;2.34;6.08;
3;11.25;9875;14988;49225;8735;6754120;;13062702;1637;;;;;;;;;;;;;;
3;11.5;11455;7978;44309;8334;6669185;;11510603;1168;;;;;;;;;;;;;;
3;12;4397;5092;36659;6060;6634567;54;13155999;3446;66.94;;0;0.048;6.43;55.42;1.1;6.31;301.61;6.07;295.3;6.07;7.37;
3;12.5;4698;6054;38229;6954;5669929;;14450219;4010;;;;;;;;;;;;;;
3;13;7350;6390;37148;5002;868325;228;2596626;381;104.93;;0;0.048;7;51.08;0.76;2.75;85.83;3.19;83.08;3.19;5.80;
3;13.5;2338;5477;52260;5760;3177297;;10706006;5553;;;;;;;;;;;;;;
3;14;4018;7042;51899;5500;2118066;;9112608;2829;65.73;8550;0;0.544;9.09;38.43;0.68;16.53;97.02;1.59;80.49;1.59;5.73;
3;14.25;3531;5690;44847;5522;;;;0;;;;;;;;;;;;;;
3;14.5;3530;5609;51327;7144;2970578;;11001691;3485;;;;;;;;;;;;;;
3;15;14252;10036;50900;6918;3124894;149;12195204;949;43.04;;0;0.041;15.55;32.3;2.47;19.95;364.95;3.68;345.01;3.68;7.95;
3;15.5;12460;11082;56744;11618;3720456;;11629992;1052;;;;;;;;;;;;;;
3;16;24692;11593;60294;11999;3877309;6810;11598466;525;37.44;17800;0;0.072;21.34;29.64;0.48;49.69;569.86;13.91;520.17;13.91;9.05;
3;16.5;33779;12356;59499;7202;3899038;;9965137;413;;;;;;;;;;;;;;
3;17;81807;14607;71260;18337;3675987;1810;10082237;147;45.62;;0.07;0.046;21.01;29.22;0.44;73.79;654.87;5.12;581.08;5.12;10.73;
3;17.5;89592;16233;72614;22006;4508377;;11478084;199;;;;;;;;;;;;;;
3;18;38612;19217;54524;19053;3389304;41400;1921687;228;49.89;33400;0.3;0.006;24.1;47.65;1.16;14.65;541.6;41.97;526.95;41.97;12.28;
3;18.5;39343;22004;60337;24713;3670313;;10032746;506;;;;;;;;;;;;;;
3;19;22472;13878;44498;23928;3770825;95200;14400650;1094;201.69;;0.65;0.041;23.57;38.5;1.67;39.35;756.17;17.25;716.82;17.25;11.28;
3;19.5;25831;22046;29328;19967;3202343;156000;5751944;601;;;;0.021;;77.84;2.51;;589.58;60.16;530.02;;11.31;
3;20;41163;18827;23489;17647;3061940;173000;7954507;303;260.37;40800;1.55;0.051;16.42;51.62;2.46;26.56;664.3;1.64;637.74;1.64;11.33;
3;20.5;59977;15836;15669;14311;3421737;;8302983;253;;;;;;;;;;;;;;
